                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.40923,                0.53246,                 1.0382,                 1.0041,                0.21005,                0.21907,                0.25247,                0.23751,                0.21005,                0.21907,                0.25247,                0.24418,                0.37725,                0.36846,                 4.9993,                 1.1545,              0.0001823,              0.0001823,              0.0001823
                     25,                0.40042,                0.57337,                0.95666,                  1.007,                0.22315,                0.24094,                0.25654,                0.24983,                0.22315,                0.24094,                0.25654,                0.25383,                0.36161,                0.36774,                 5.1511,                 1.1207,             0.00017591,             0.00017591,             0.00017591
                     26,                0.39982,                0.54961,                0.95126,                 1.0123,                0.21285,                 0.2451,                0.25184,                0.24168,                0.21285,                 0.2451,                0.25187,                0.24594,                0.36707,                0.37671,                  4.893,                 1.1177,             0.00016951,             0.00016951,             0.00016951
                     27,                0.40457,                0.53063,                0.98177,                 1.0149,                 0.2074,                0.25926,                0.24502,                0.23341,                 0.2074,                0.25926,                0.24502,                0.24166,                0.38776,                0.39294,                 5.0065,                 1.1241,             0.00016311,             0.00016311,             0.00016311
                     28,                0.41292,                0.56574,                0.97851,                  1.005,                0.21057,                0.22308,                 0.2691,                0.25849,                0.21057,                0.22308,                 0.2691,                0.26554,                0.35381,                0.37055,                 5.0669,                 1.1009,             0.00015672,             0.00015672,             0.00015672
                     29,                0.41285,                0.56103,                0.93799,                 1.0071,                0.26426,                0.24331,                0.26875,                0.25428,                0.26426,                0.24331,                0.26875,                0.26185,                0.37315,                0.36734,                 5.1703,                  1.117,             0.00015032,             0.00015032,             0.00015032
                     30,                0.40533,                0.58543,                0.91124,                 1.0037,                 0.2056,                0.22269,                0.26311,                  0.255,                 0.2056,                0.22269,                0.26311,                0.25998,                0.34911,                0.36516,                 5.1122,                  1.095,             0.00014393,             0.00014393,             0.00014393
                     31,                0.37738,                0.50087,                0.85016,                0.99933,                0.25068,                0.22344,                0.25443,                0.24684,                0.25068,                0.22344,                0.25443,                0.24918,                0.33215,                0.35178,                 5.2211,                 1.0619,             0.00013753,             0.00013753,             0.00013753
                     32,                0.38616,                0.53445,                0.84265,                0.99632,                0.21861,                 0.2233,                0.25877,                0.24881,                0.21861,                 0.2233,                0.25877,                0.25549,                0.34528,                0.35684,                 5.3483,                 1.0708,             0.00013114,             0.00013114,             0.00013114
                     33,                0.38768,                0.52992,                0.84523,                0.99335,                0.21071,                0.22365,                 0.2498,                0.23772,                0.21071,                0.22365,                 0.2498,                0.24369,                0.32423,                0.34594,                 5.3555,                 1.0727,             0.00012474,             0.00012474,             0.00012474
